steps,time,reward,delta,converged
1,0.0006070137023925781,54.30000000000001,100.3,False
2,0.0005929470062255859,193.29000000000005,30.0,False
3,0.0005729198455810547,264.984,9.0,False
4,0.0008158683776855469,295.4913,2.700000000000001,False
5,0.0008130073547363281,307.09779000000003,0.8100000000000023,False
6,0.0006678104400634766,311.31602699999996,0.24300000000000033,False
7,0.0005800724029541016,312.68524209,0.07290000000000418,False
8,0.0009517669677734375,313.1296208069999,0.02187000000000694,False
9,0.0009679794311523438,313.27253316509996,0.006561000000004924,False
10,0.00067901611328125,313.31826090753,0.001968300000001477,False
11,0.0009648799896240234,313.33283544075897,0.0005904900000075486,False
12,0.0005850791931152344,313.3374665876941,0.00017714700001647543,False
13,0.0005767345428466797,313.3388583360137,5.314410000067937e-05,False
14,0.0005748271942138672,313.33927586050964,1.5943230010861953e-05,False
15,0.0005779266357421875,313.3394011178584,4.782969000416415e-06,True
